ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,267935252480.0,902.89,13.8415365,17.589909,,0.152,0.173,0.13861,596.073,1.311,2.0739071841882843,True
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15195474944.0,126.795,32.595116,33.632626,,0.01,-0.658,0.07645,93.305,0.789,0.02933982010395897,False
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,11262238720.0,184.365,7.208271,7.9777155,,0.091,0.427,0.21326,69.729,1.295,0.37111841534239076,False
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,19997100032.0,168.58,23.593199,34.90269,,-0.065,-0.085,0.32911,75.604,0.935,0.9442440940621952,False
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,15947634688.0,26.17,36.54722,27.260418,,0.043,0.024,0.060939997,88.124,0.816,-0.051053514924382704,False
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,35127021568.0,165.4,14.638463,41.24688,,0.137,-0.913,0.41548002,989.054,1.338,3.898692758911772,True
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,15671327744.0,397.98,19.555874,25.826088,,0.157,0.281,0.124239996,58.762,0.356,1.1429129342822644,False
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,64430198784.0,218.6,11.828198,16.54807,,-0.012,3.507,0.24193001,142.647,0.577,3.6970349669538463,True
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,63491584000.0,158.34,10.673012,15.313346,,0.013,2427.284,0.15427,71.38,0.755,1.4304911150942776,False
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,10912203776.0,104.64,18.04253,33.32484,,0.015,-0.593,,,1.034,-0.17948161613686964,False
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,33351837696.0,228.49,18.766098,22.622772,,0.11,0.145,0.25676,13.411,0.928,0.1981996725892088,False
SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,22301763584.0,42.54,13.335423,31.984962,,0.005,-0.33,0.03911,81.007,1.054,0.0013649563012132493,False
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,31518269440.0,80.875,16.904709,22.654062,,0.033,0.135,,,1.045,0.23527156320367704,False
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,41545728000.0,142.72,11.743767,12.9745455,,-0.095,-0.222,0.13477,22.872,1.445,0.5955868287037354,False
