ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,15098902528,60.12,9.009427,80.159996,,0.05,-0.434,0.01948,85.209,1.511
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,170437509120,97.27,14.065891,20.918278,,0.189,0.411,0.18101999,115.32,0.901
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,23283224576,72.27,14.707318,,,-0.092,,-0.06949,144.156,0.437
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,201520939008,47.78,9.09276,11.768473,,0.02,-0.533,0.17069,174.78,0.27
POOL,Pool Corporation,Industrials,Industrial Distribution,7854567424,213.51,17.947899,19.678339,,-0.005,-0.129,0.33058998,129.513,1.262
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8677248000,75.62,12.870525,23.125383,,0.077,0.136,0.08701,71.736,0.882
TT,Trane Technologies plc,Industrials,Building Products & Equipment,102024331264,460.11,27.363,34.962765,,0.056,-0.005,0.36956,63.247,1.212
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,100096409600,394.68,63.942505,,,0.233,,-0.04137,18.336,1.072
O,Realty Income Corporation,Real Estate,REIT - Retail,58930880512,63.2,35.997856,54.017097,,0.11,0.412,0.02702,73.505,0.796
TXT,Textron Inc.,Industrials,Aerospace & Defense,15920188416,91.41,12.5265,17.853518,,0.156,0.744,0.12242,54.375,0.971
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,41842651136,143.74,11.7605,13.067273,,-0.095,-0.222,0.13477,22.872,1.445
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,89665150976,128.58,13.593619,17.352228,,0.078,0.305,0.12898,,1.053
